epoch,loss,train_auc,val_auc
1,0.2745,0.9497,0.9833
2,0.0940,0.9944,0.9853
3,0.0534,0.9982,0.9856
4,0.0247,0.9996,0.9860
5,0.0234,0.9996,0.9823
6,0.0135,0.9999,0.9859
7,0.0113,0.9999,0.9836
8,0.0098,0.9999,0.9865
9,0.0078,0.9999,0.9855
10,0.0089,0.9999,0.9856
11,0.0126,0.9999,0.9825
12,0.0034,1.0000,0.9867
13,0.0043,0.9999,0.9831
14,0.0089,0.9999,0.9748
15,0.0101,0.9999,0.9861
16,0.0045,1.0000,0.9843
17,0.0032,0.9999,0.9862
18,0.0041,1.0000,0.9817
19,0.0091,0.9999,0.9839
20,0.0050,1.0000,0.9823
